LOG Shot,Error
0,100
3,61.611
5,36.61
7,17.551
8,49.11
9,45.798
10,37.008
11,42.259
12,43.608
13,41.788
0,100
3,75
5,65.625
7,96.875
8,47.656
9,57.812
10,61.523
11,64.844
12,81.885
13,81.75
0,100
3,62.5
5,31.25
7,29.811
8,37.109
9,35.937
10,33.007
11,34.765
12,34.815
13,33.543
0,100
3,77.141
5,85.294
7,70.0525
8,67.559
9,60.461
10,62.158
11,66.166
12,60.168
13,60.184
0,100
3,58.335
5,31.242
7,34.373
8,48.045
9,37.695
10,55.273
11,43.407
12,35.986
13,37.451
0,100
3,100
5,96.875
7,98.437
8,97.226
9,94.922
10,97.07
11,96.094
12,95.581
13,96.411
0,100
3,100
5,100
7,100
8,100
9,100
10,100
11,100
12,100
13,100
0,100
3,100
5,100
7,96.73
8,96.1
9,96.1
10,97.724
11,97.075
12,97.724
13,98.13
0,100
3,100
5,68.75
7,80.469
8,85.547
9,78.32
10,76.562
11,81.055
12,71.167
13,80.654
0,100
3,100
5,90.625
7,97.656
8,97.656
9,95.117
10,97.461
11,98.145
12,98.364
13,98.608
0,100
3,100
5,75.577
7,90.535
8,70.206
9,71.117
10,76.901
11,79.418
12,76.083
13,81.699
0,100
3,100
5,56.25
7,53.941
8,67.97
9,55.859
10,59.179
11,60.888
12,62.912
13,60.511
0,100
3,50
5,43.75
7,40.625
8,57.811
9,63.281
10,55.468
11,51.332
12,48.34
13,46.776
0,99.218
3,91.666
5,33.333
7,51.735
8,80.554
9,84.028
10,76.183
11,82.204
12,78.037
13,77.061
0,100
3,62.5
5,25
7,40.624
8,48.437
9,32.226
10,32.422
11,38.233
12,35.327
13,31.531
0,100
3,25
5,18.75
7,9.374
8,1.562
9,5.468
10,7.813
11,5.176
12,6.055
13,7.128
0,100
3,100
5,31.25
7,26.599
8,36.689
9,30.809
10,40.332
11,28.172
12,25.199
13,32.972
0,93.75
3,25
5,62.925
7,23.438
8,1.172
9,10.156
10,10.682
11,10.078
12,8.399
13,9.644
0,93.75
3,75
5,25
7,14.061
8,6.25
9,15.235
10,11.328
11,7.52
12,10.986
13,8.276
0,98.4375
3,100
5,25
7,15.625
8,18.749
9,13.672
10,17.97
11,8.789
12,37.987
13,15.063
0,100
3,25
5,34.375
7,20.312
8,53.516
9,21.875
10,40.82
11,53.755
12,51.855
13,47.705
0,97.31
3,72.55
5,35.403
7,51.475
8,42.027
9,25.492
10,43.137
11,44.481
12,23.251
13,43.5875
